section,key,count
summary,candidate_count,100
summary,approved_count,0
summary,rejected_count,100
reject_reason,target_return_below_threshold,99
reject_reason,vwap_relationship_blocked,1
blocked_by_threshold,TXG,1
blocked_by_threshold,KTOS,1
blocked_by_threshold,BOIL,1
blocked_by_threshold,CZR,1
blocked_by_threshold,DFTX,1
blocked_by_threshold,HUN,1
blocked_by_threshold,VXX,1
blocked_by_threshold,LYB,1
blocked_by_threshold,SCO,1
blocked_by_threshold,ACHC,1
blocked_by_threshold,PYPL,1
blocked_by_threshold,TEM,1
blocked_by_threshold,DYN,1
blocked_by_threshold,ZETA,1
blocked_by_threshold,DLTR,1
blocked_by_threshold,U,1
blocked_by_threshold,DOG,1
blocked_by_threshold,AXTI,1
blocked_by_threshold,WYNN,1
blocked_by_threshold,TNDM,1
blocked_by_threshold,NESR,1
blocked_by_threshold,M,1
blocked_by_threshold,DXC,1
blocked_by_threshold,NTR,1
blocked_by_threshold,CRGY,1
blocked_by_threshold,ARR,1
blocked_by_threshold,SRAD,1
blocked_by_threshold,BN,1
blocked_by_threshold,DDOG,1
blocked_by_threshold,BANC,1
blocked_by_threshold,IVZ,1
blocked_by_threshold,BATL,1
blocked_by_threshold,MDLN,1
blocked_by_threshold,SOC,1
blocked_by_threshold,CTRA,1
blocked_by_threshold,MGM,1
blocked_by_threshold,ROST,1
blocked_by_threshold,CG,1
blocked_by_threshold,UUUU,1
blocked_by_threshold,BAX,1
blocked_by_threshold,ZSL,1
blocked_by_threshold,BDX,1
blocked_by_threshold,FRPT,1
blocked_by_threshold,DVN,1
blocked_by_threshold,LOW,1
blocked_by_threshold,CUK,1
blocked_by_threshold,CART,1
blocked_by_threshold,MAT,1
blocked_by_threshold,CTVA,1
blocked_by_threshold,MOS,1
blocked_by_threshold,WDAY,1
blocked_by_threshold,ALK,1
blocked_by_threshold,BRKR,1
blocked_by_threshold,ORLY,1
blocked_by_threshold,EXE,1
blocked_by_threshold,PRCT,1
blocked_by_threshold,QURE,1
blocked_by_threshold,APLD,1
blocked_by_threshold,IREN,1
blocked_by_threshold,ERAS,1
blocked_by_threshold,CBRE,1
blocked_by_threshold,VEEV,1
blocked_by_threshold,COP,1
blocked_by_threshold,SAN,1
blocked_by_threshold,SATS,1
blocked_by_threshold,MMM,1
blocked_by_threshold,MUR,1
blocked_by_threshold,MS,1
blocked_by_threshold,LUNR,1
blocked_by_threshold,FNGU,1
blocked_by_threshold,CSGP,1
blocked_by_threshold,FLG,1
blocked_by_threshold,TRI,1
blocked_by_threshold,NTSK,1
blocked_by_threshold,OXY,1
blocked_by_threshold,TECH,1
blocked_by_threshold,SWKS,1
blocked_by_threshold,TMO,1
blocked_by_threshold,NXE,1
blocked_by_threshold,EXK,1
blocked_by_threshold,CUBE,1
blocked_by_threshold,DUK,1
blocked_by_threshold,KSS,1
blocked_by_threshold,CARR,1
blocked_by_threshold,SPOT,1
blocked_by_threshold,AMKR,1
blocked_by_threshold,SHOP,1
blocked_by_threshold,VZ,1
blocked_by_threshold,RYAN,1
blocked_by_threshold,MGY,1
blocked_by_threshold,ILMN,1
blocked_by_threshold,SIRI,1
blocked_by_threshold,PM,1
blocked_by_threshold,AS,1
blocked_by_threshold,CE,1
blocked_by_threshold,DINO,1
blocked_by_threshold,CC,1
blocked_by_threshold,NG,1
blocked_by_threshold,NRG,1
blocked_by_spread,DNLI,1
blocked_by_spread,BOIL,1
blocked_by_spread,CZR,1
blocked_by_spread,VXX,1
blocked_by_spread,ZETA,1
blocked_by_spread,TNDM,1
blocked_by_spread,IREN,1
blocked_by_spread,CE,1
